code,name,block,part,variant,position,subpos,profile
Б1.В.ДВ.3.1,Психология,Б1,В,ДВ,3,1,Маркетинг
Б1.В.ДВ.3.2,Культурология,Б1,В,ДВ,3,2,Маркетинг
Б1.В.ДВ.4.1,Основы конъюнктурного прогнозирования,Б1,В,ДВ,4,1,Маркетинг
Б1.В.ДВ.4.2,Методы моделирования в маркетинге,Б1,В,ДВ,4,2,Маркетинг
Б1.В.ДВ.5.1,Товарная информация,Б1,В,ДВ,5,1,Маркетинг
Б1.В.ДВ.5.2,Экплуатационно-сопроводительные документы ТПН,Б1,В,ДВ,5,2,Маркетинг
Б1.В.ДВ.6.1,Математика 0,Б1,В,ДВ,6,1,Маркетинг
Б1.В.ДВ.6.2,Инженерная графика,Б1,В,ДВ,6,2,Маркетинг
Б1.В.ДВ.7.1,Управление персоналом,Б1,В,ДВ,7,1,Маркетинг
Б1.В.ДВ.7.2,Предпринимательская деятельность,Б1,В,ДВ,7,2,Маркетинг
Б1.В.ДВ.8.1,Социальный маркетинг,Б1,В,ДВ,8,1,Маркетинг
Б1.В.ДВ.8.2,Маркетинг партнерских отношений,Б1,В,ДВ,8,2,Маркетинг
Б1.В.ДВ.9.1,Товароведение товаров производственного назначения,Б1,В,ДВ,9,1,Маркетинг
Б1.В.ДВ.9.2,Товароведение потребительских товаров и услуг,Б1,В,ДВ,9,2,Маркетинг
Б1.В.ДВ.10.1,Брэндинг и медиапланирование,Б1,В,ДВ,10,1,Маркетинг
Б1.В.ДВ.10.2,Мерчандайзинг,Б1,В,ДВ,10,2,Маркетинг
Б1.В.ДВ.11.1,Связи с общественностью и выставочно-ярмарочная деятельность,Б1,В,ДВ,11,1,Маркетинг
Б1.В.ДВ.11.2,Инновационный маркетинг,Б1,В,ДВ,11,2,Маркетинг
Б1.В.ДВ.12.1,Экономика маркетинга,Б1,В,ДВ,12,1,Маркетинг
Б1.В.ДВ.12.2,Нематериальные товарные объекты в маркетинге,Б1,В,ДВ,12,2,Маркетинг
Б1.В.ДВ.13.1,Деловая риторика,Б1,В,ДВ,13,1,Маркетинг
Б1.В.ДВ.13.2,Социологические исследования,Б1,В,ДВ,13,2,Маркетинг
Б2.У.1,Учебная практика,Б2,Y,0,1,0,Маркетинг
Б2.П.1,Производственная (НИР),Б2,П,0,1,0,Маркетинг
Б2.П.2,Производственная (технологическая),Б2,П,0,2,0,Маркетинг
Б2.П.3,"Производственная (научно-исследовательская, преддипломная)",Б2,П,0,3,0,Маркетинг
Б3,Государственная итоговая аттестация,Б3,0,0,0,0,Маркетинг
